russian,english
Правило: Экипировка оружия,Rule: Equipping Weapons
"Вы можете экипировать оружие, когда совершаете атаку как часть действия Атака. Экипировка оружия включает вынимание его из ножен или поднятие.",You can equip weapons when you make an attack as part of attack action. Equipping a weapon includes drawing it from a sheath or picking it up.
Уклонение,Dodge
"До начала вашего следующего хода любая атака против вас имеет помеху, и вы совершаете испытания Ловкости с преимуществом.","Until the start of your next turn, any attack roll made against you has Disadvantage, and you make Dexterity saving throws with Advantage."
"Если вы достигаете 0 ОЗ, вы падаете в бессознательное состояние и должны сделать спасброски от смерти. При 3 успехах вы перестаете умирать и становитесь Стабилизированным. При 3 провалах вы погибаете. Если вы выбрасываете 20 на d20, вы восстанавливаете 1 ОЗ.<br><br>Если вы восстанавливаете любые ОЗ, состояние снимается. Если союзник <LSTag Type=""Spell"" Tooltip=""Target_Help"">Помощь</LSTag> вам, вы восстанавливаете 1 ОЗ.","If you reach 0 hit points, you fall Unconscious and must make Death Saving Throws. On 3 successes, you stop bleeding out and become Stable. On 3 failures, you die. If you roll a 20 on the d20, you regain 1 Hit Point.<br><br>If you regain any hit points, the condition is removed. If an ally <LSTag Type=""Spell"" Tooltip=""Target_Help"">Helps</LSTag> you, you regain 1 hit point."
"Пока вы находитесь в состоянии Сбитый с ног, вы испытываете следующие эффекты:<br><br>Ограниченное перемещение: Чтобы встать и погасить состояние, вы должны потратить перемещения, равные половине вашей Скорости. Если ваша Скорость равна 0, вы не можете встать.<br><br>Влияние на атаки: Бросок атаки против вас имеет преимущество, если атакующий находится в пределах [1] от вас. Иначе этот бросок атаки имеет помеху.","While you have the Prone condition, you experience the following effects:<br><br>Restricted Movement: You must spend an amount of movement equal to half your Speed to stand up and end the condition. If your Speed is 0, you can’t stand up.<br><br>Attacks Affected: An attack roll against you has Advantage if the attacker is within [1] of you. Otherwise, that attack roll has Disadvantage."
Правило: одно заклинание с ячейкой за ход,Rule: One Spell with a Spell Slot per Turn
"За ход вы можете потратить только одну ячейку заклинания, чтобы наложить заклинание. Это правило означает, что вы не можете, например, наложить одно заклинание с ячейкой заклинания действием Магия, а другое — бонусным действием в тот же ход.","On a turn, you can expend only one spell slot to cast a spell. This rule means you can’t, for example, cast a spell with a spell slot using the Magic action and another one using a Bonus Action on the same turn."
Свойства мастерства: Рассечение,Mastery Properties: Cleave
"Если вы попали по существу броском рукопашной атаки этим оружием, вы можете сделать бросок рукопашной атаки этим оружием по второму существу в пределах [1] от первого, которое также находится в вашей досягаемости. При попадании второе существо получает урон оружия, но вы не прибавляете модификатор характеристики к этому урону, если только он не отрицательный. Эту дополнительную атаку вы можете совершить только один раз за ход.","If you hit a creature with a melee attack roll using this weapon, you can make a melee attack roll with the weapon against a second creature within [1] of the first that is also within your reach. On a hit, the second creature takes the weapon’s damage, but don’t add your ability modifier to that damage unless that modifier is negative. You can make this extra attack only once per turn."
Свойства мастерства: Скользящий удар,Mastery Properties: Graze
"Если бросок атаки с этим оружием промахивается по существу, вы наносите тому урон, равный модификатору характеристики, использованному для совершения броска атаки. Этот урон того же типа, что и урон от оружия, и увеличивается только если увеличивается модификатор характеристики.","If your attack roll with this weapon misses a creature, you can deal damage to that creature equal to the ability modifier you used to make the attack roll. This damage is the same type dealt by the weapon, and the damage can be increased only by increasing the ability modifier."
Свойства мастерства: Надрез,Mastery Properties: Nick
При совершении атаки вашим оружием второй руки вы можете совершить ещё одну атаку как часть этой атаки. Эту дополнительную атаку вы можете совершить только один раз за ход.,"When you make an attack with your off-hand weapon, you can make one additional attack as part of that attack. You can make this additional attack only once per turn."
Свойства мастерства: Толчок,Mastery Properties: Push
"Если вы попали этим оружием по существу, вы можете оттолкнуть его на расстояние до [1] прямо от себя, если оно размером Крупное или меньше.","If you hit a creature with this weapon, you can push the creature up to [1] straight away from yourself if it is Large or smaller."
Свойства мастерства: Истощение,Mastery Properties: Sap
"Если вы попали этим оружием по существу, то в его следующий бросок атаки до начала вашего следующего хода делается помеха.","If you hit a creature with this weapon, that creature has Disadvantage on its next attack roll before the start of your next turn."
Свойства мастерства: Замедление,Mastery Properties: Slow
"Если вы попали этим оружием по существу и нанесли ему урон, вы можете уменьшить его Скорость на [1] до начала вашего следующего хода. Если существо было поражено более одного раза оружием, имеющим это свойство, уменьшение Скорости не может превышать [1].","If you hit a creature with this weapon and deal damage to it, you can reduce its Speed by [1] until the start of your next turn. If the creature is hit more than once by weapons that have this property, the Speed reduction doesn’t exceed [1]."
Свойства мастерства: Опрокидывание,Mastery Properties: Topple
"Если вы попали этим оружием по существу, вы можете заставить его сделать испытание Телосложения (КД 8 плюс модификатор характеристики, использованный для совершения броска атаки, и ваш бонус умения). При провале существо получает состояние Сбитый с ног.","If you hit a creature with this weapon, you can force the creature to make a Constitution saving throw (DC 8 plus the ability modifier used to make the attack roll and your Proficiency Bonus). On a failed save, the creature has the Prone condition."
Свойства мастерства: Отвлечение,Mastery Properties: Vex
"Если вы попали этим оружием по существу и нанесли ему урон, в следующую вашу атаку по этому существу до конца вашего следующего хода у вас преимущество на бросок атаки.","If you hit a creature with this weapon and deal damage to the creature, you have Advantage on your next attack roll against that creature before the end of your next turn."
"Секира, Алебарда","Greataxe, Halberd"
"Глефа, Двуручный меч","Glaive, Greatsword"
"Кинжал, Лёгкий молот, Серп, Скимитар","Dagger, Light Hammer, Sickle, Scimitar"
"Палица, Пика, Боевой молот, Тяжёлый арбалет","Greatclub, Pike, Warhammer, Heavy Crossbow"
"Булава, Копьё, Цеп, Длинный меч, Моргенштерн, Боевая кирка","Mace, Spear, Flail, Longsword, Morningstar, War Pick"
"Дубинка, Метательное копьё, Лёгкий арбалет, Праща, Длинный лук, Мушкет","Club, Javelin, Light Crossbow, Sling, Longbow, Musket"
"Боевой посох, Боевой топор, Молот, Трезубец","Quarterstaff, Battleaxe, Maul, Trident"
"Ручной топор, Короткий лук, Рапира, Короткий меч, Ручной арбалет, Пистолет","Handaxe, Shortbow, Rapier, Shortsword, Hand Crossbow, Pistol"
Мастерство владения оружием,Weapon Mastery
Ваша тренировка с оружием позволяет использовать свойства мастерства владения оружием.<br><br>По мере достижения определенных уровней в вашем классе вы получаете способность использовать свойства мастерства дополнительных видов оружия.,"Your training with weapons allows you to use weapon mastery properties.<br><br>As you reach certain levels in your class, you gain the ability to use the mastery properties of additional weapon types."
Уровень 1: Ярость,Level 1: Rage
"Вы можете наделить себя первозданной силой, называемой Яростью, силой, дарующей вам исключительную мощь и устойчивость. Вы можете войти в неё как бонусное действие, если не носите тяжёлой брони.<br><br>Вы можете войти в Ярость указанное количество раз, показанное для вашего уровня варвара в столбце «Ярость» Таблицы особенностей варвара. Вы восстанавливаете одно использованное применение, когда завершаете короткий отдых, и восстанавливаете все использованные применения, когда завершаете долгий отдых.","You can imbue yourself with a primal power called Rage, a force that grants you extraordinary might and resilience. You can enter it as a Bonus Action if you aren’t wearing Heavy armor.<br><br>You can enter your Rage the number of times shown for your Barbarian level in the Rages column of the Barbarian Features table. You regain one expended use when you finish a Short Rest, and you regain all expended uses when you finish a Long Rest."
Уровень 1: Защита без доспехов,Level 1: Unarmoured Defence
Уровень 2: Чувство опасности,Level 2: Danger Sense
Уровень 3: Первозданное знание,Level 3: Primal Knowledge
"Вы приобретаете умение в другом навыке на ваш выбор из списка навыков, доступных варварам на 1-ом уровне.<br><br>Кроме того, пока ваша Ярость активна, вы можете направлять первозданную силу при выполнении определенных задач; когда вы делаете проверку характеристики с использованием одного из следующих навыков, вы можете сделать её как проверку Силы, даже если обычно используется другая характеристика: Акробатика, Запугивание, Внимание, Скрытность или Выживание. Когда вы используете эту способность, ваша Сила символизирует первозданную силу, протекающую через вас, улучшая вашу ловкость, осанку и чувства.","You gain proficiency in another skill of your choice from the skill list available to Barbarians at level 1.<br><br>In addition, while your Rage is active, you can channel primal power when you attempt certain tasks; whenever you make an ability check using one of the following skills, you can make it as a Strength check even if it normally uses a different ability: Acrobatics, Intimidation, Perception, Stealth, or Survival. When you use this ability, your Strength represents primal power coursing through you, honing your agility, bearing, and senses."
Уровень 5: Быстрое передвижение,Level 5: Fast Movement
Уровень 7: Животный инстинкт,Level 7: Feral Instinct
Уровень 7: Интуитивный рывок,Level 7: Instinctive Pounce
"Как часть бонусного действия, которое вы совершаете для входа в Ярость, вы можете переместиться на расстояние, равное половине вашей Скорости.","As part of the Bonus Action you take to enter your Rage, you can move up to half your Speed."
Уровень 9: Жестокий удар,Level 9: Brutal Strike
"Если вы используете Безрассудную атаку, цель получает дополнительный 1d10 урона того же типа, что и от оружия или безоружной атаки, и вы можете выбрать один эффект Жестокого удара.<br><br>Мощный удар. Цель отталкивается на [1] прямо от вас. Затем вы можете переместиться на половину вашей Скорости прямо к цели, не вызывая внеочередных атак.<br>Удар по сухожилиям. Скорость цели уменьшается на [1] до начала вашего следующего хода. Цель может испытать только один Удар по сухожилиям одновременно — самый последний.","If you use Reckless Attack, the target takes an extra 1d10 damage of the same type dealt by the weapon or Unarmed Strike, and you can cause one Brutal Strike effect of your choice.<br><br>Forceful Blow. The target is pushed [1] straight away from you. You can then move up to half your Speed straight toward the target without provoking Opportunity Attacks.<br>Hamstring Blow. The target’s Speed is reduced by [1] until the start of your next turn. A target can be affected by only one Hamstring Blow at a time—the most recent one."
Безрассудная атака: Мощный удар,Reckless Attack: Forceful Blow
"Цель отталкивается на [1] прямо от вас. Затем вы можете переместиться на половину вашей Скорости прямо к цели, не вызывая внеочередных атак.",The target is pushed [1] straight away from you. You can then move up to half your Speed straight toward the target without provoking Opportunity Attacks.
Безрассудная атака: Удар по сухожилиям,Reckless Attack: Hamstring Blow
Скорость цели уменьшается на [1] до начала вашего следующего хода. Цель может быть затронута только одним ударом по сухожилиям одновременно — самым последним.,The target’s Speed is reduced by [1] until the start of your next turn. A target can be affected by only one Hamstring Blow at a time—the most recent one.
Мощный удар,Forceful Blow
"Вы можете переместиться до половины вашей Скорости прямо к цели, не вызывая внеочередных атак.",You can move up to half your Speed straight toward the target without provoking Opportunity Attacks.
Удар по сухожилиям,Hamstring Blow
Скорость уменьшается на [1] до начала следующего хода нападающего.,The Speed is reduced by [1] until the start of attacker's next turn.
Уровень 11: Неудержимая ярость,Level 11: Relentless Rage
"Один раз за <LSTag Tooltip=""ShortRest"">короткий отдых</LSTag>, когда у вас остаётся [1] <LSTag Tooltip=""HitPoints"">ОЗ</LSTag> во время <LSTag Type=""Status"" Tooltip=""RAGE"">Ярости</LSTag>, вы вместо этого восстанавливаете ОЗ, равное двум вашим уровням варвара, и избегаете <LSTag Type=""Status"" Tooltip=""DOWNED"">состояния Сбит</LSTag>.","Once per <LSTag Tooltip=""ShortRest"">Short Rest</LSTag>, when you would drop to [1] <LSTag Tooltip=""HitPoints"">hit points</LSTag> while <LSTag Type=""Status"" Tooltip=""RAGE"">Enraged</LSTag>, you instead regain hit points equal to twice your Barbarian level and avoid being <LSTag Type=""Status"" Tooltip=""DOWNED"">Downed</LSTag>."
Уровень 3: Неистовство,Level 3: Frenzy
"Если вы используете Безрассудную атаку, пока ваша Ярость активна, вы наносите дополнительный урон по первому целя, по которой вы попадаете в свой ход с помощью атаки на основе Силы. Чтобы определить дополнительный урон, бросьте количество d6, равное бонусу урона Ярости, и сложите их. Урон имеет тот же тип, что и оружие или Безоружная атака, использованные для атаки.","If you use Reckless Attack while your Rage is active, you deal extra damage to the first target you hit on your turn with a Strength-based attack. To determine the extra damage, roll a number of d6s equal to your Rage Damage bonus, and add them together. The damage has the same type as the weapon or Unarmed Strike used for the attack."
Уровень 6: Безрассудная ярость,Level 6: Mindless Rage
Уровень 10: Возмездие,Level 10: Retaliation
"Когда вы получаете урон от Существа в пределах [1] от вас, вы можете предпринять реакцию и совершить одну рукопашную атаку против этого Существа, используя оружие или Безоружную атаку.","When you take damage from a creature that is within [1] of you, you can take a Reaction to make one melee attack against that creature, using a weapon or an Unarmed Strike."
Ботинки гиганта,Boot of the Giants
"Попытайтесь отпнуть цель. Ваши шансы зависят от вашей Атлетики, и выше, если вы скрыты или невидимы.","Try to kick a target away. Your chances depend on your Athletics, and are higher if you're hidden or invisible."
"Вы можете отпихивать цели весом до двух раз больше, чем позволяет их <LSTag Type=""Spell"" Tooltip=""Target_Shove"">Толкание</LSTag>.","You can kick targets up to twice the weight that <LSTag Type=""Spell"" Tooltip=""Target_Shove"">Shoving</LSTag> them would allow."
"Окруженные дикой магией варвара. Ваш <LSTag Tooltip=""ArmourClass"">класс брони</LSTag> увеличивается на величину, равную вашему бонусу урона Ярости, пока не закончится ваш <LSTag Type=""Status"" Tooltip=""RAGE"">состояние Ярости</LSTag>.","Surrounded by a barbarian's wild magic. Your <LSTag Tooltip=""ArmourClass"">Armour Class</LSTag> increases by an amount equal to your Rage Damage bonus until your <LSTag Type=""Status"" Tooltip=""RAGE"">Rage</LSTag> ends."
Уровень 2: Мастер на все руки,Level 2: Jack of All Trades
Уровень 5: Источник вдохновения,Level 5: Font of Inspiration
"Кроме того, вы можете потратить ячейка заклинания (без затрат действия), чтобы восстановить одно использованное Бардовское вдохновение.","In addition, you can expend a spell slot (no action required) to regain one expended use of Bardic Inspiration."
Источник вдохновения,Font of Inspiration
"Потратьте ячейка заклинание, чтобы восстановить одно использованное Бардовское вдохновение.",Expend a spell slot to regain one expended use of Bardic Inspiration.
Уровень 7: Контрчары,Level 7: Countercharm
"Вы можете использовать музыкальные ноты или слова силы, чтобы нарушить магические влияния на разум. Если вы или Существо в пределах 30 футов от вас не проходит испытание против эффекта, накладывающего состояние Очарованный или Испуганный, вы можете предпринять реакцию, чтобы бросок был переброшен, и новый бросок имеет преимущество.","You can use musical notes or words of power to disrupt mind-influencing effects. If you or a creature within 30 feet of you fails a saving throw against an effect that applies the Charmed or Frightened condition, you can take a Reaction to cause the save to be rerolled, and the new roll has Advantage."
Контрчары,Countercharm
Уровень 3: Чарующая магия,Level 3: Beguiling Magic
